Item #,Item Title,Collection,Product Type,WebDescription,Unit Price,MSRP,Image
096PG,Silver Fresh Water Pearl Pendant,Classics,Pearl Pendant,"Brilliant in every way, this heart-shaped Pearl pendant necklace is set in Silver.",15,39,096PG.jpg
1186SE01,Silver Fresh Water Pearl Earrings,Classics,Pearl Earrings,"Handcrafted in precious Silver, these drop earrings each feature an enchanting round Pearl. The earrings are secured comfortably with friction backs.",15,39,1186SE01.jpg
1186SN01,Silver Fresh Water Pearl Necklace,Classics,Pearl Necklace,"Brilliant in every way, this tassel pendant necklace features a rich Pearl set in Silver.",25,69,1186SN01.jpg
1209NWOP,"Silver Fresh Water Pearl Necklace 22""",Classics,Pearl Necklace,"Brilliant in every way, this pendant necklace features an array of rich Pearls set in Silver.",35,89,1209NWOP.jpg
130E06WOP,Silver Fresh Water Pearl Earrings,Classics,Pearl Earrings,"Handcrafted in precious Silver, these drop earrings each feature three enchanting Pearls. The earrings are secured comfortably with friction backs.",20,49,130E06WOP.jpg
142PW,Silver Fresh Water Pearl Pendant,Classics,Pearl Pendant,"Brilliant in every way, this heart-shaped Pearl pendant necklace is set in Silver.",15,39,142PW.jpg
253P01,Silver Fresh Water Pearl Pendant,Classics,Pearl Pendant,"Brilliant in every way, this heart-shaped Pearl and CZ pendant necklace is set in Silver.",20,49,253P01.jpg
3C355AW,14K Diamond 3 Stone Ring 1/4 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw.,525,1319,3C355AW.jpg
3C355BW,14K Diamond 3 Stone Ring 1/4 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw.,450,1129,3C355BW.jpg
3C356AW,14K Diamond 3 Stone Ring 1/2 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/2 ctw.,850,2129,3C356AW.jpg
3C356BW,14K Diamond 3 Stone Ring 1/2 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/2 ctw.,750,1879,3C356BW.jpg
3C357AW,14K Diamond 3 Stone Ring 3/4 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 3/4 ctw.,1200,2999,3C357AW.jpg
3C357BW,14K Diamond 3 Stone Ring 3/4 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 3/4 ctw.,1050,2629,3C357BW.jpg
3C358AW,14K Diamond 3 Stone Ring 1 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1 ctw.,2000,4999,3C358AW.jpg
3C358BW,14K Diamond 3 Stone Ring 1 ctw,Bridal Bells,Ring,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1 ctw.,1600,3999,3C358BW.jpg
5619E,14K Diamond Solitaire Ring 1/2 ct,Bridal Bells,Engagement Ring,A stunning 1/2 carat round diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,1000,2499,5619E.jpg
5620E,14K Diamond Solitaire Ring 3/4 ct,Bridal Bells,Engagement Ring,A stunning 3/4 carat round diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,1750,4379,5620E.jpg
5621E,14K Diamond Solitaire Ring 1 ct,Bridal Bells,Engagement Ring,A stunning 1 carat round diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,3500,8749,5621E.jpg
5622E,14K P/Cut Diamond Solitaire Ring 1/2 ct,Bridal Bells,Engagement Ring,A stunning 0.5 carat Princess Cut diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,1000,2499,5622E.jpg
5623E,14K P/Cut Diamond Solitaire Ring 3/4 ct,Bridal Bells,Engagement Ring,A stunning 3/4 carat Princess Cut diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,1750,4379,5623E.jpg
5624E,14K P/Cut Diamond Solitaire Ring 1 ct,Bridal Bells,Engagement Ring,A stunning 1 carat Princess Cut diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,3500,8749,5624E.jpg
5625E,14K Diamond Solitaire Ring 1/4 ct,Bridal Bells,Engagement Ring,A stunning 1/4 carat round diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,450,1129,5625E.jpg
5626E,14K Diamond Solitaire Ring 1/3 ct,Bridal Bells,Engagement Ring,A stunning 1/3 carat round diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,550,1379,5626E.jpg
5627E,14K P/Cut Diamond Solitare Ring 1/4 ct,Bridal Bells,Engagement Ring,A stunning 1/4 carat Princess Cut diamond is the focus of this elegant diamond engagement ring that celebrates your declaration of love. The solitaire is set in a band of 14K white gold.,450,1129,5627E.jpg
