Style #,Item #,Item Description,Unit Price,MSRP,On-hand,WebDescription
096PG,096PG,Silver Fresh Water Pearl Pendant,15,39,298,"Brilliant in every way, this heart-shaped Freshwater Pearl pendant necklace is set in Silver."
1186SE01,1186SE01,Silver Fresh Water Pearl Earrings,15,39,212,"Handcrafted in precious Silver, these drop earrings each feature a lustrous Freshwater Pearl and Silver fringe. The earrings are secured comfortably with friction backs."
1186SN01,1186SN01,Silver Fresh Water Pearl Necklace,25,69,237,"Brilliant in every way, this tassel pendant necklace features a rich Freshwater Pearl set in Silver with metallic fringe accents."
1209NWOP,1209NWOP,"Silver Fresh Water Pearl Necklace 22""",35,89,142,"Brilliant in every way, this pendant necklace features an array of rich Freshwater Pearls set in Silver."
130E06WOP,130E06WOP,Silver Fresh Water Pearl Earrings,20,49,323,"Handcrafted in precious Silver, these fringe drop earrings each feature three dazzling Freshwater Pearls. The earrings are secured comfortably with friction backs."
1.33E+03,1.33E+03,Silver Fresh Water Pearls Earrings,20,49,206,"Brilliant in every way, this  Freshwater Pearl Earrings  is fashioned in Silver. Features 8 CZ stones leading to a beautiful Freshwater Pearl."
142PW,142PW,Silver Fresh Water Pearl Pendant,15,39,180,"Brilliant in every way, this heart-shaped pendant necklace is fashioned in Silver and set with a single Freshwater Pearl."
253P01,253P01,Silver Fresh Water Pearl Pendant,20,49,196,"Brilliant in every way, this  Freshwater Pearl pendant necklace is fashioned in Silver. Features 3 CZ stones leading to a beautiful Freshwater Pearl."
3C355AW,3C355AW,14K Diamond 3 Stone Ring 1/4 ctw,525,1049,2,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw. Diamond clarity is SI3.
3C355BW,3C355BW,14K Diamond 3 Stone Ring 1/4 ctw,450,1129,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/4 ctw. Diamond clarity is I1.
3C356BW,3C356BW,14K Diamond 3 Stone Ring 1/2 ctw,750,1879,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 1/2 ctw. Diamond clarity is I1.
3C357AW,3C357AW,14K Diamond 3 Stone Ring 3/4 ctw,1200,2999,1,This Three Stone ring is crafted with 3 round diamonds to dazzle those around you. The ring is fashioned out of 14K White Gold. Total diamond weight is 3/4 ctw. Diamond clarity is SI3.
747SB01,747SB01,Silver Smoky Quartz F.W. Pearl Bracelet,30,60,43,A colorful Silver bracelet adorned with Freshwater pearls and Smoky Quartz gemstones.
747SE01,747SE01,Silver Smoky Quartz F.W. Pearl Earring,20,40,30.5,A colorful pair of Silver drop earrings adorned with Freshwater pearls and Smoky Quartz gemstones.
747SN01,747SN01,Silver Smoky Quartz F.W. Pearl Necklace,50,100,61,A colorful Silver necklace adorned with Freshwater pearls and Smoky Quartz gemstones.
AMS1001,AMS1001,Steel Cross,20,49,140,This simple steel cross pendant features a black cross inlay.
AMS1075,AMS1075,Steel Cross,20,49,194,"Two steel crosses, one featuring an inscription, highlight this powerful pendant necklace."
AMS1095,AMS1095,Steel and 18K Inlay Diamond Cross,60,149,25,This steel and 18K gold cross pendant is set with a single round-cut diamond.
AMS1096,AMS1096,Steel and 18K Inlay Diamond Pendant,45,109,39,This steel and 18K gold pendant is set with a single round-cut diamond.
AMS1097,AMS1097,Steel & Blues Resin Bracelet,32,79,1,A link bracelet crafted out of steel and blue resin.
AMS1098,AMS1098,Steel Black Diamond Bracelet 3/8 ctw,150,379,13,"This steel bracelet is set with a black diamond inlay, totaling 3/8 ctw."
